,Test Errors,Test Error Rate,Test False Positives,Train Accuracy,Train Size,Test Size,Test Accuracy,Test False Negatives
400278,218,23.044397463,135,0.934575193094,2201,946,76.955602537,83
400442,166,42.0253164557,5,0.93137254902,918,395,57.9746835443,161
400379,214,32.3262839879,25,0.9238776838,1537,662,67.6737160121,189
400440,153,17.1717171717,65,0.940105414471,2087,891,82.8282828283,88
400441,55,13.0952380952,12,0.982635342186,979,420,86.9047619048,43
400371,230,33.381712627,10,0.935643564356,1616,689,66.618287373,220
400373,76,11.1111111111,26,0.980697384807,1606,684,88.8888888889,50
400376,91,15.0912106136,12,0.972953736655,1405,603,84.9087893864,79
400297,41,9.95145631068,25,0.986055776892,1004,412,90.0485436893,16
412310,27,15.1685393258,21,0.970660146699,409,178,84.8314606742,6
400082,260,26.369168357,212,0.919720767888,2292,986,73.630831643,48
400080,218,23.956043956,129,0.935861423221,2136,910,76.043956044,89
400081,177,27.874015748,57,0.935483870968,1488,635,72.125984252,120
400086,65,12.7450980392,8,0.979381443299,1164,510,87.2549019608,57
400087,137,22.7574750831,77,0.936645068395,1389,602,77.2425249169,60
400089,69,13.9393939394,57,0.985306828003,1157,495,86.0606060606,12
412317,19,10.6741573034,7,0.963144963145,407,178,89.3258426966,12
412228,15,5.33807829181,7,0.986089644513,647,281,94.6619217082,8
412186,23,8.0985915493,1,0.979782270607,643,284,91.9014084507,22
412221,35,12.7272727273,8,0.974921630094,638,275,87.2727272727,27
412189,28,9.85915492958,21,0.980362537764,662,284,90.1408450704,7
412225,130,47.4452554745,37,0.909810126582,632,274,52.5547445255,93
412226,45,15.9574468085,29,0.972727272727,660,282,84.0425531915,16
400280,68,15.5606407323,10,0.9658203125,1024,437,84.4393592677,58
400019,42,7.17948717949,42,0.977071005917,1352,585,92.8205128205,0
400018,240,25.4777070064,27,0.950819672131,2196,942,74.5222929936,213
400152,210,34.9417637271,7,0.935740072202,1385,601,65.0582362729,203
400154,202,23.2451093211,13,0.964868876794,2021,869,76.7548906789,189
400157,69,10.3293413174,35,0.979098628347,1531,668,89.6706586826,34
400158,85,17.0682730924,25,0.977605512489,1161,498,82.9317269076,60
400010,190,22.4321133412,21,0.969574036511,1972,847,77.5678866588,169
400013,167,27.5577557756,52,0.938122332859,1406,606,72.4422442244,115
412451,9,11.25,3,0.994652406417,187,80,88.75,6
412456,1,1.25,1,0.973404255319,188,80,98.75,0
412457,2,2.46913580247,2,0.989417989418,189,81,97.5308641975,0
400017,117,13.5573580533,65,0.958374628345,2018,863,86.4426419467,52
