,Test Errors,Test Error Rate,Test False Positives,Train Accuracy,Train Size,Test Size,Test Accuracy,Test False Negatives
400042,160,23.988005997,136,0.926395939086,1576,667,76.011994003,24
400048,198,23.8267148014,72,0.929092805005,1918,831,76.1732851986,126
412010,69,20.7207207207,11,0.978149100257,778,333,79.2792792793,58
412011,46,15.3333333333,34,0.984485190409,709,300,84.6666666667,12
400622,61,17.7325581395,43,0.980124223602,805,344,82.2674418605,18
400623,41,11.5168539326,26,0.969325153374,815,356,88.4831460674,15
400626,52,14.4846796657,29,0.977163461538,832,359,85.5153203343,23
400627,47,13.6231884058,25,0.971428571429,805,345,86.3768115942,22
400628,66,18.1818181818,59,0.953791469194,844,363,81.8181818182,7
412217,38,13.2867132867,9,0.980332829047,661,286,86.7132867133,29
400262,209,22.0,120,0.93836534167,2239,950,78.0,89
400263,195,28.0979827089,9,0.934243176179,1612,694,71.9020172911,186
400189,198,20.0,108,0.938828633406,2305,990,80.0,90
400266,264,38.3720930233,190,0.903448275862,1595,688,61.6279069767,74
400267,133,15.5373831776,23,0.971428571429,1995,856,84.4626168224,110
400183,320,37.2093023256,167,0.907769423559,1995,860,62.7906976744,153
400185,155,31.25,5,0.946689595873,1163,496,68.75,150
400184,133,21.9110378913,66,0.94495412844,1417,607,78.0889621087,67
400436,214,25.2955082742,16,0.932892730046,1967,846,74.7044917258,198
