,n_baseline_misclassified,null_hypothesis,better_algorithm,baseline accuracy,value,n_svm_misclassified,SVM accuracy
412292,2,3.841459,2,92.0454545455,0.5,0,93.1818181818
412293,2,3.841459,2,93.1034482759,0.0,1,93.6781609195
412474,0,3.841459,2,92.6829268293,1.33333333333,3,89.0243902439
412429,1,3.841459,2,89.0243902439,0.5,1,89.0243902439
412475,3,3.841459,2,94.9367088608,1.33333333333,0,98.7341772152
412428,3,3.841459,2,95.1219512195,0.25,1,97.5609756098
400663,9,3.841459,2,89.3258426966,3.27272727273,2,91.5730337079
400660,45,3.841459,1,80.0,8.86153846154,20,87.2463768116
400661,0,3.841459,0,85.9195402299,2147483647,0,85.9195402299
412477,0,3.841459,2,98.7804878049,0.0,1,97.5609756098
412426,0,3.841459,0,98.7654320988,2147483647,0,98.7654320988
412471,0,3.841459,2,96.3414634146,0.0,1,95.1219512195
412423,2,3.841459,2,92.5925925926,0.5,0,95.0617283951
412202,1,3.841459,2,88.1720430108,0.0,0,88.5304659498
412200,3,3.841459,2,94.2857142857,0.25,1,95.0
412421,0,3.841459,0,97.4683544304,2147483647,0,97.4683544304
412205,34,3.841459,2,72.7272727273,3.12962962963,20,77.6223776224
400227,8,3.841459,2,72.7407407407,0.75,4,73.4814814815
400224,0,3.841459,2,89.7494305239,0.0,1,89.5216400911
412208,3,3.841459,2,92.7272727273,0.25,1,93.4545454545
400220,0,3.841459,0,92.4657534247,2147483647,0,92.4657534247
