,Test Errors,Test Error Rate,Test False Positives,Train Accuracy,Train Size,Test Size,Test Accuracy,Test False Negatives
400442,65,16.4556962025,28,0.845315904139,918,395,83.5443037975,37
400379,139,20.996978852,76,0.812621990891,1537,662,79.003021148,63
400440,147,16.4983164983,62,0.860565404887,2087,891,83.5016835017,85
400441,40,9.52380952381,7,0.917262512768,979,420,90.4761904762,33
400371,143,20.7547169811,41,0.824876237624,1616,689,79.2452830189,102
400373,74,10.8187134503,23,0.909713574097,1606,684,89.1812865497,51
400376,76,12.6036484245,10,0.891814946619,1405,603,87.3963515755,66
400297,34,8.25242718447,3,0.913346613546,1004,412,91.7475728155,31
412310,15,8.42696629213,4,0.889975550122,409,178,91.5730337079,11
400082,235,23.8336713996,138,0.804537521815,2292,986,76.1663286004,97
400080,180,19.7802197802,49,0.826779026217,2136,910,80.2197802198,131
400081,126,19.842519685,75,0.851478494624,1488,635,80.157480315,51
400086,49,9.60784313725,8,0.904639175258,1164,510,90.3921568627,41
400087,117,19.4352159468,49,0.844492440605,1389,602,80.5647840532,68
400089,44,8.88888888889,12,0.927398444252,1157,495,91.1111111111,32
412317,16,8.98876404494,5,0.882063882064,407,178,91.0112359551,11
412228,15,5.33807829181,4,0.948995363215,647,281,94.6619217082,11
412186,19,6.69014084507,3,0.94867807154,643,284,93.3098591549,16
412221,14,5.09090909091,7,0.952978056426,638,275,94.9090909091,7
412189,19,6.69014084507,6,0.919939577039,662,284,93.3098591549,13
412225,70,25.5474452555,46,0.75,632,274,74.4525547445,24
412226,23,8.15602836879,5,0.890909090909,660,282,91.8439716312,18
400280,53,12.1281464531,15,0.8798828125,1024,437,87.8718535469,38
400019,42,7.17948717949,42,0.936390532544,1352,585,92.8205128205,0
400018,141,14.9681528662,38,0.861566484517,2196,942,85.0318471338,103
400152,111,18.46921797,49,0.8440433213,1385,601,81.53078203,62
400154,86,9.89643268124,22,0.894606630381,2021,869,90.1035673188,64
400157,61,9.13173652695,17,0.92423252776,1531,668,90.8682634731,44
400158,59,11.8473895582,14,0.891472868217,1161,498,88.1526104418,45
400010,93,10.9799291617,28,0.898073022312,1972,847,89.0200708383,65
400013,120,19.801980198,28,0.815078236131,1406,606,80.198019802,92
412451,3,3.75,3,0.978609625668,187,80,96.25,0
412456,1,1.25,1,0.946808510638,188,80,98.75,0
412457,2,2.46913580247,2,0.978835978836,189,81,97.5308641975,0
400017,113,13.0938586327,48,0.863230921705,2018,863,86.9061413673,65
409888,43,8.54870775348,9,0.908390410959,1168,503,91.4512922465,34
400335,53,10.2912621359,12,0.896093100582,1203,515,89.7087378641,41
400337,121,18.4451219512,50,0.831013916501,1509,656,81.5548780488,71
400331,243,24.570273003,128,0.787786920745,2309,989,75.429726997,115
400333,180,19.5016251354,41,0.801494628678,2141,923,80.4983748646,139
400648,57,15.6164383562,17,0.89349112426,845,365,84.3835616438,40
400640,52,14.5251396648,17,0.878787878788,825,358,85.4748603352,35
400641,49,13.8028169014,17,0.910539215686,816,355,86.1971830986,32
400643,29,7.96703296703,5,0.912529550827,846,364,92.032967033,24
400644,33,9.29577464789,10,0.906892382104,827,355,90.7042253521,23
400645,73,20.9169054441,73,0.777777777778,828,349,79.0830945559,0
400646,15,9.61538461538,15,0.918032786885,366,156,90.3846153846,0
400647,37,10.2209944751,14,0.908872901679,834,362,89.7790055249,23
400349,64,15.1300236407,24,0.886088709677,992,423,84.8699763593,40
412382,16,12.6984126984,2,0.882352941176,289,126,87.3015873016,14
412383,34,25.9541984733,14,0.802631578947,304,131,74.0458015267,20
412386,29,26.1261261261,6,0.79296875,256,111,73.8738738739,23
412385,6,5.66037735849,0,0.876,250,106,94.3396226415,6
412388,12,11.1111111111,10,0.927710843373,249,108,88.8888888889,2
412258,10,4.8309178744,2,0.913043478261,483,207,95.1690821256,8
400209,175,22.9057591623,109,0.799210377891,1773,764,77.0942408377,66
400204,191,23.2077764277,76,0.82477967859,1929,823,76.7922235723,115
400206,100,11.0619469027,37,0.881740775781,2114,904,88.9380530973,63
400207,69,13.717693837,39,0.8480475382,1178,503,86.282306163,30
400419,61,10.0164203612,10,0.895670688432,1409,609,89.9835796388,51
400415,58,13.3333333333,15,0.887033398821,1018,435,86.6666666667,43
400414,158,15.7842157842,85,0.871838834119,2333,1001,84.2157842158,73
400417,185,18.8391038697,81,0.845818815331,2296,982,81.1608961303,104
400416,181,21.4964370546,20,0.785714285714,1974,842,78.5035629454,161
400411,61,13.8952164009,9,0.882468168462,1021,439,86.1047835991,52
400253,192,19.6923076923,25,0.818261633011,2278,975,80.3076923077,167
400343,147,14.7887323944,66,0.8494158373,2311,994,85.2112676056,81
412295,28,15.8192090395,16,0.888349514563,412,177,84.1807909605,12
400288,58,7.6821192053,19,0.915110356537,1767,755,92.3178807947,39
400251,173,20.4009433962,62,0.813360530342,1961,848,79.5990566038,111
412405,9,11.1111111111,9,0.968253968254,189,81,88.8888888889,0
412404,11,14.4736842105,0,0.857954545455,176,76,85.5263157895,11
400257,120,17.8571428571,58,0.822039265358,1579,672,82.1428571429,62
412407,29,36.25,3,0.797872340426,188,80,63.75,26
400114,165,21.3454075032,78,0.819405496354,1783,773,78.6545924968,87
400115,116,11.7647058824,20,0.879861711322,2314,986,88.2352941176,96
400116,180,18.1086519115,89,0.826764833261,2309,994,81.8913480885,91
