,Test Errors,Test Error Rate,Test False Positives,Train Accuracy,Train Size,Test Size,Test Accuracy,Test False Negatives
400278,180,19.0274841438,23,0.792367105861,2201,946,80.9725158562,157
400442,92,23.2911392405,67,0.764705882353,918,395,76.7088607595,25
400379,155,23.413897281,117,0.76447625244,1537,662,76.586102719,38
400440,174,19.5286195286,107,0.816962146622,2087,891,80.4713804714,67
400441,40,9.52380952381,7,0.916241062308,979,420,90.4761904762,33
400371,172,24.9637155298,33,0.746287128713,1616,689,75.0362844702,139
400373,77,11.2573099415,22,0.905354919054,1606,684,88.7426900585,55
400376,77,12.7694859038,10,0.885409252669,1405,603,87.2305140962,67
400297,34,8.25242718447,3,0.913346613546,1004,412,91.7475728155,31
412310,15,8.42696629213,4,0.889975550122,409,178,91.5730337079,11
400082,271,27.4847870183,115,0.755671902269,2292,986,72.5152129817,156
400080,176,19.3406593407,37,0.818352059925,2136,910,80.6593406593,139
400081,149,23.4645669291,73,0.809811827957,1488,635,76.5354330709,76
400086,50,9.80392156863,7,0.897766323024,1164,510,90.1960784314,43
400087,144,23.9202657807,85,0.786897048236,1389,602,76.0797342193,59
400089,44,8.88888888889,12,0.927398444252,1157,495,91.1111111111,32
412317,13,7.30337078652,2,0.862407862408,407,178,92.6966292135,11
412228,15,5.33807829181,4,0.945904173107,647,281,94.6619217082,11
412186,21,7.39436619718,1,0.933125972006,643,284,92.6056338028,20
412221,16,5.81818181818,8,0.948275862069,638,275,94.1818181818,8
412189,19,6.69014084507,6,0.913897280967,662,284,93.3098591549,13
412225,68,24.8175182482,68,0.664556962025,632,274,75.1824817518,0
412226,25,8.86524822695,5,0.881818181818,660,282,91.134751773,20
400280,47,10.7551487414,24,0.8564453125,1024,437,89.2448512586,23
400019,42,7.17948717949,42,0.936390532544,1352,585,92.8205128205,0
400018,142,15.0743099788,39,0.861566484517,2196,942,84.9256900212,103
400152,124,20.6322795341,45,0.8,1385,601,79.3677204659,79
400154,92,10.586881473,25,0.886689757546,2021,869,89.413118527,67
400157,58,8.68263473054,14,0.919007184847,1531,668,91.3173652695,44
400158,58,11.6465863454,10,0.881998277347,1161,498,88.3534136546,48
400010,93,10.9799291617,28,0.898073022312,1972,847,89.0200708383,65
400013,139,22.9372937294,11,0.77240398293,1406,606,77.0627062706,128
412451,3,3.75,3,0.978609625668,187,80,96.25,0
412456,1,1.25,1,0.946808510638,188,80,98.75,0
412457,2,2.46913580247,2,0.978835978836,189,81,97.5308641975,0
400017,113,13.0938586327,48,0.863230921705,2018,863,86.9061413673,65
409888,45,8.94632206759,7,0.900684931507,1168,503,91.0536779324,38
400335,55,10.6796116505,8,0.881130507066,1203,515,89.3203883495,47
400337,154,23.4756097561,72,0.799204771372,1509,656,76.5243902439,82
400331,282,28.5136501517,110,0.74317886531,2309,989,71.4863498483,172
400333,206,22.3185265439,21,0.758991125642,2141,923,77.6814734561,185
400648,68,18.6301369863,17,0.843786982249,845,365,81.3698630137,51
400640,54,15.0837988827,14,0.827878787879,825,358,84.9162011173,40
400641,59,16.6197183099,20,0.876225490196,816,355,83.3802816901,39
400643,29,7.96703296703,5,0.912529550827,846,364,92.032967033,24
400644,33,9.29577464789,10,0.905683192261,827,355,90.7042253521,23
400645,74,21.2034383954,74,0.76690821256,828,349,78.7965616046,0
400646,15,9.61538461538,15,0.918032786885,366,156,90.3846153846,0
400647,40,11.0497237569,11,0.856115107914,834,362,88.9502762431,29
400349,84,19.8581560284,60,0.78125,992,423,80.1418439716,24
412382,16,12.6984126984,2,0.882352941176,289,126,87.3015873016,14
412383,37,28.2442748092,11,0.736842105263,304,131,71.7557251908,26
412386,32,28.8288288288,2,0.75,256,111,71.1711711712,30
412385,7,6.60377358491,0,0.864,250,106,93.3962264151,7
412388,14,12.962962963,12,0.911646586345,249,108,87.037037037,2
412258,10,4.8309178744,2,0.910973084886,483,207,95.1690821256,8
400209,179,23.4293193717,104,0.778905809363,1773,764,76.5706806283,75
400204,204,24.787363305,60,0.772939346812,1929,823,75.212636695,144
400206,100,11.0619469027,37,0.881740775781,2114,904,88.9380530973,63
400207,82,16.3021868787,32,0.81494057725,1178,503,83.6978131213,50
400419,63,10.3448275862,10,0.887154009936,1409,609,89.6551724138,53
400415,69,15.8620689655,5,0.807465618861,1018,435,84.1379310345,64
400414,174,17.3826173826,61,0.82468924132,2333,1001,82.6173826174,113
400417,242,24.6435845214,60,0.772648083624,2296,982,75.3564154786,182
400416,199,23.6342042755,13,0.770010131712,1974,842,76.3657957245,186
400411,68,15.4897494305,5,0.857002938296,1021,439,84.5102505695,63
400253,204,20.9230769231,12,0.798068481124,2278,975,79.0769230769,192
400343,147,14.7887323944,68,0.839030722631,2311,994,85.2112676056,79
412295,29,16.384180791,18,0.878640776699,412,177,83.615819209,11
400288,58,7.6821192053,19,0.91454442558,1767,755,92.3178807947,39
400251,214,25.2358490566,42,0.74706782254,1961,848,74.7641509434,172
412405,9,11.1111111111,9,0.968253968254,189,81,88.8888888889,0
412404,11,14.4736842105,0,0.857954545455,176,76,85.5263157895,11
400257,153,22.7678571429,130,0.751741608613,1579,672,77.2321428571,23
412407,31,38.75,0,0.75,188,80,61.25,31
400114,173,22.3803363519,129,0.763320246775,1783,773,77.6196636481,44
400115,117,11.8661257606,20,0.878133102852,2314,986,88.1338742394,97
400116,180,18.1086519115,89,0.826764833261,2309,994,81.8913480885,91
412406,4,4.93827160494,4,0.962162162162,185,81,95.0617283951,0
400110,242,25.5274261603,42,0.773273942094,2245,948,74.4725738397,200
400111,234,30.1546391753,18,0.727928928373,1801,776,69.8453608247,216
412498,8,15.3846153846,0,0.865546218487,119,52,84.6153846154,8
412499,0,0.0,0,0.990566037736,106,46,100.0,0
412497,18,30.0,3,0.678832116788,137,60,70.0,15
412319,13,7.34463276836,2,0.929440389294,411,177,92.6553672316,11
412252,20,8.19672131148,10,0.88908765653,559,244,91.8032786885,10
412253,21,9.01287553648,5,0.914700544465,551,233,90.9871244635,16
412254,18,7.75862068966,8,0.920903954802,531,232,92.2413793103,10
412255,37,17.2093023256,3,0.841176470588,510,215,82.7906976744,34
412256,12,5.45454545455,1,0.880392156863,510,220,94.5454545455,11
412311,16,9.09090909091,1,0.874384236453,406,176,90.9090909091,15
412259,16,8.42105263158,6,0.923611111111,432,190,91.5789473684,10
412315,26,15.0289017341,8,0.841191066998,403,173,84.9710982659,18
412314,21,12.7272727273,0,0.875,392,165,87.2727272727,21
400291,221,22.972972973,65,0.783699059561,2233,962,77.027027027,156
400290,160,27.0727580372,46,0.782417582418,1365,591,72.9272419628,114
400060,40,7.8431372549,4,0.921434671221,1171,510,92.1568627451,36
400061,63,12.3046875,13,0.873015873016,1197,512,87.6953125,50
400062,148,23.3807266983,48,0.779797979798,1485,633,76.6192733017,100
400063,134,22.4080267559,10,0.778985507246,1380,598,77.5919732441,124
412401,2,2.46913580247,2,0.984042553191,188,81,97.5308641975,0
412400,2,2.43902439024,2,0.983957219251,187,82,97.5609756098,0
412403,3,3.7037037037,3,0.983957219251,187,81,96.2962962963,0
412402,1,1.21951219512,1,0.978947368421,190,82,98.7804878049,0
400068,41,9.66981132075,10,0.912087912088,1001,424,90.3301886792,31
412409,2,2.43902439024,2,0.952127659574,188,82,97.5609756098,0
412408,3,3.65853658537,3,0.926315789474,190,82,96.3414634146,0
400151,26,6.03248259861,8,0.910536779324,1006,431,93.9675174014,18
412458,2,2.5974025974,2,0.983870967742,186,77,97.4025974026,0
