,Total False Negatives,Total False Positives,Total Errors,Error Rate,Accuracy,Dataset Size
400647,42,6,48,13.2596685083,86.7403314917,362
400349,95,3,98,23.1678486998,76.8321513002,423
412382,14,4,18,14.2857142857,85.7142857143,126
412383,32,9,41,31.2977099237,68.7022900763,131
412386,29,3,32,28.8288288288,71.1711711712,111
412385,7,2,9,8.49056603774,91.5094339623,106
412388,2,10,12,11.1111111111,88.8888888889,108
412258,8,4,12,5.79710144928,94.2028985507,207
400209,75,104,179,23.4293193717,76.5706806283,764
400204,236,5,241,29.2831105711,70.7168894289,823
400206,63,35,98,10.8407079646,89.1592920354,904
400207,62,25,87,17.296222664,82.703777336,503
400419,53,10,63,10.3448275862,89.6551724138,609
400415,67,4,71,16.3218390805,83.6781609195,435
400414,154,36,190,18.981018981,81.018981019,1001
400417,242,23,265,26.9857433809,73.0142566191,982
400416,186,13,199,23.6342042755,76.3657957245,842
400411,63,5,68,15.4897494305,84.5102505695,439
400253,193,12,205,21.0256410256,78.9743589744,975
400343,79,67,146,14.6881287726,85.3118712274,994
412295,12,16,28,15.8192090395,84.1807909605,177
400288,39,19,58,7.6821192053,92.3178807947,755
400251,222,7,229,27.0047169811,72.9952830189,848
412405,1,6,7,8.64197530864,91.3580246914,81
412404,10,2,12,15.7894736842,84.2105263158,76
400257,237,2,239,35.5654761905,64.4345238095,672
412407,30,3,33,41.25,58.75,80
400114,285,4,289,37.3868046572,62.6131953428,773
400115,97,20,117,11.8661257606,88.1338742394,986
400116,91,89,180,18.1086519115,81.8913480885,994
412406,3,3,6,7.40740740741,92.5925925926,81
400110,235,18,253,26.6877637131,73.3122362869,948
400111,216,17,233,30.0257731959,69.9742268041,776
412498,7,1,8,15.3846153846,84.6153846154,52
412499,1,0,1,2.17391304348,97.8260869565,46
412497,20,2,22,36.6666666667,63.3333333333,60
412319,10,4,14,7.90960451977,92.0903954802,177
412252,10,10,20,8.19672131148,91.8032786885,244
412253,16,7,23,9.87124463519,90.1287553648,233
412254,11,8,19,8.18965517241,91.8103448276,232
412255,34,1,35,16.2790697674,83.7209302326,215
412256,12,0,12,5.45454545455,94.5454545455,220
412311,17,0,17,9.65909090909,90.3409090909,176
412259,9,6,15,7.89473684211,92.1052631579,190
412315,23,7,30,17.3410404624,82.6589595376,173
412314,23,0,23,13.9393939394,86.0606060606,165
400291,230,17,247,25.6756756757,74.3243243243,962
400290,156,10,166,28.0879864636,71.9120135364,591
400060,36,4,40,7.8431372549,92.1568627451,510
400061,75,3,78,15.234375,84.765625,512
400062,173,6,179,28.2780410742,71.7219589258,633
400063,124,10,134,22.4080267559,77.5919732441,598
412401,2,2,4,4.93827160494,95.0617283951,81
412400,1,1,2,2.43902439024,97.5609756098,82
412403,0,1,1,1.23456790123,98.7654320988,81
412402,3,0,3,3.65853658537,96.3414634146,82
400068,31,9,40,9.43396226415,90.5660377358,424
412409,2,2,4,4.87804878049,95.1219512195,82
412408,3,1,4,4.87804878049,95.1219512195,82
400151,18,8,26,6.03248259861,93.9675174014,431
412458,3,1,4,5.19480519481,94.8051948052,77
412452,2,3,5,6.25,93.75,80
412453,3,7,10,12.1951219512,87.8048780488,82
412466,2,2,4,4.93827160494,95.0617283951,81
400367,30,25,55,8.16023738872,91.8397626113,674
400366,205,24,229,23.7305699482,76.2694300518,965
400365,67,116,183,18.4661957619,81.5338042381,991
400364,223,5,228,26.4808362369,73.5191637631,861
400363,106,4,110,25.3456221198,74.6543778802,434
400249,111,7,118,24.8945147679,75.1054852321,474
400361,116,5,121,23.4042553191,76.5957446809,517
400360,110,3,113,18.7707641196,81.2292358804,602
400244,71,32,103,13.0050505051,86.9949494949,792
400245,177,7,184,24.0522875817,75.9477124183,765
400246,257,12,269,27.3652085453,72.6347914547,983
400247,56,23,79,9.887359199,90.112640801,799
400240,184,28,212,22.6737967914,77.3262032086,935
412454,0,2,2,2.5974025974,97.4025974026,77
412411,0,1,1,1.25,98.75,80
400129,221,10,231,27.4673008323,72.5326991677,841
400093,138,4,142,21.2893553223,78.7106446777,667
400097,136,3,139,27.1484375,72.8515625,512
412214,20,6,26,9.05923344948,90.9407665505,287
412215,8,10,18,6.71641791045,93.2835820896,268
412216,22,7,29,10.9848484848,89.0151515152,264
412309,22,7,29,16.384180791,83.615819209,177
412476,1,0,1,1.23456790123,98.7654320988,81
412211,7,6,13,4.60992907801,95.390070922,282
412212,14,5,19,6.71378091873,93.2862190813,283
412213,23,2,25,13.2275132275,86.7724867725,189
412199,7,7,14,5.20446096654,94.7955390335,269
400392,34,6,40,8.84955752212,91.1504424779,452
412196,58,2,60,21.2014134276,78.7985865724,283
412195,14,2,16,5.81818181818,94.1818181818,275
412194,19,7,26,9.28571428571,90.7142857143,280
412193,10,8,18,6.36042402827,93.6395759717,283
412192,23,2,25,9.09090909091,90.9090909091,275
412191,27,5,32,11.3475177305,88.6524822695,282
412190,41,0,41,14.4876325088,85.5123674912,283
400121,64,22,86,12.8166915052,87.1833084948,671
400289,183,18,201,23.9856801909,76.0143198091,838
400124,219,8,227,26.9596199525,73.0403800475,842
400024,191,5,196,32.9966329966,67.0033670034,594
400025,204,13,217,23.3082706767,76.6917293233,931
400027,61,16,77,12.6229508197,87.3770491803,610
400021,163,10,173,21.0206561361,78.9793438639,823
400029,33,8,41,9.83213429257,90.1678657074,417
412449,3,0,3,3.75,96.25,80
400147,65,8,73,16.9373549884,83.0626450116,431
412440,9,1,10,12.3456790123,87.6543209877,81
400145,30,22,52,11.8721461187,88.1278538813,438
400144,129,13,142,14.7609147609,85.2390852391,962
412445,1,0,1,1.25,98.75,80
400142,59,18,77,9.93548387097,90.064516129,775
412447,0,0,0,0.0,100.0,79
400140,159,21,180,18.5950413223,81.4049586777,968
412500,0,1,1,2.22222222222,97.7777777778,45
412501,4,0,4,14.8148148148,85.1851851852,27
412502,4,0,4,36.3636363636,63.6363636364,11
400321,71,9,80,15.8102766798,84.1897233202,506
400320,35,28,63,9.33333333333,90.6666666667,675
400326,231,12,243,26.9102990033,73.0897009967,903
400657,91,14,105,29.0858725762,70.9141274238,361
400656,24,7,31,9.06432748538,90.9356725146,342
400655,25,3,28,7.8431372549,92.1568627451,357
400654,47,3,50,13.9275766017,86.0724233983,359
400653,54,5,59,16.3888888889,83.6111111111,360
400652,33,9,42,11.9318181818,88.0681818182,352
400651,40,9,49,14.2028985507,85.7971014493,345
400198,180,8,188,26.404494382,73.595505618,712
412209,18,6,24,8.60215053763,91.3978494624,279
400659,34,3,37,10.9792284866,89.0207715134,337
400199,240,4,244,32.3607427056,67.6392572944,754
400211,241,29,270,28.2131661442,71.7868338558,957
412398,1,7,8,9.87654320988,90.1234567901,81
400216,253,21,274,27.3180458624,72.6819541376,1003
412393,5,1,6,6.66666666667,93.3333333333,90
412392,3,2,5,5.68181818182,94.3181818182,88
412395,1,5,6,7.31707317073,92.6829268293,82
412394,4,1,5,6.17283950617,93.8271604938,81
412397,1,2,3,3.65853658537,96.3414634146,82
412396,15,1,16,20.253164557,79.746835443,79
412399,1,5,6,7.40740740741,92.5925925926,81
400195,132,2,134,26.326129666,73.673870334,509
400196,39,2,41,8.28282828283,91.7171717172,495
400219,86,30,116,13.7278106509,86.2721893491,845
400218,194,7,201,29.5154185022,70.4845814978,681
400356,188,10,198,29.9093655589,70.0906344411,662
400355,69,3,72,17.1021377672,82.8978622328,421
400352,91,3,94,21.6091954023,78.3908045977,435
400350,183,18,201,25.5076142132,74.4923857868,788
400351,28,21,49,8.19397993311,91.8060200669,598
400422,161,34,195,21.6426193119,78.3573806881,901
400424,194,13,207,24.2388758782,75.7611241218,854
400425,191,22,213,22.8540772532,77.1459227468,932
400103,235,18,253,26.603575184,73.396424816,951
400101,158,3,161,23.8872403561,76.1127596439,674
412327,7,5,12,6.93641618497,93.063583815,173
412489,3,2,5,6.25,93.75,80
412488,1,0,1,1.25,98.75,80
412485,1,4,5,6.17283950617,93.8271604938,81
412484,1,3,4,5.0,95.0,80
400109,275,7,282,28.9527720739,71.0472279261,974
400108,63,6,69,16.2352941176,83.7647058824,425
